,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name
0,240.4,,,,,,,,,Unknown,BAUMGARTNER 1-23 #1
1,240.9,,,,47.41,,,,,Unknown,BAUMGARTNER 1-23 #1
2,241.4,,,,47.54,,,,,Unknown,BAUMGARTNER 1-23 #1
3,241.9,,,2.15,47.64,7.51,,,,Unknown,BAUMGARTNER 1-23 #1
4,242.4,,,2.15,48.74,7.48,,,,Unknown,BAUMGARTNER 1-23 #1
5,242.9,,,2.14,49.37,7.55,,,,Unknown,BAUMGARTNER 1-23 #1
6,243.4,73.16,,2.13,49.06,7.57,,,,Unknown,BAUMGARTNER 1-23 #1
7,243.9,75.42,,2.12,47.71,7.52,,,,Unknown,BAUMGARTNER 1-23 #1
8,244.4,77.87,,2.11,47.09,7.52,,,,Unknown,BAUMGARTNER 1-23 #1
9,244.9,76.02,,2.11,46.82,7.49,,,,Unknown,BAUMGARTNER 1-23 #1
10,245.4,71.6,,2.11,47.11,7.41,,,,Unknown,BAUMGARTNER 1-23 #1
11,245.9,70.86,,2.1,49.31,7.4,,,,Unknown,BAUMGARTNER 1-23 #1
12,246.4,74.55,,2.08,52.15,7.46,,,,Unknown,BAUMGARTNER 1-23 #1
13,246.9,76.56,,2.06,53.33,7.55,,,,Unknown,BAUMGARTNER 1-23 #1
14,247.4,79.7,,2.04,53.2,7.62,,,,Unknown,BAUMGARTNER 1-23 #1
15,247.9,83.02,,2.04,51.42,7.57,,,,Unknown,BAUMGARTNER 1-23 #1
16,248.4,78.32,,2.03,49.64,7.51,,,,Unknown,BAUMGARTNER 1-23 #1
17,248.9,69.35,,2.02,48.31,7.5,,,,Unknown,BAUMGARTNER 1-23 #1
18,249.4,60.21,,2.01,47.37,7.5,,,,Unknown,BAUMGARTNER 1-23 #1
19,249.9,51.92,,2.01,47.76,7.46,,,,Unknown,BAUMGARTNER 1-23 #1
20,250.4,49.01,,2.0,48.86,7.39,,,,Unknown,BAUMGARTNER 1-23 #1
21,250.9,50.31,,2.0,48.12,7.2,,,,Unknown,BAUMGARTNER 1-23 #1
22,251.4,53.24,,2.02,46.44,6.89,,,,Unknown,BAUMGARTNER 1-23 #1
23,251.9,58.07,,2.07,45.9,6.57,,,,Unknown,BAUMGARTNER 1-23 #1
24,252.4,63.79,,2.13,45.81,6.42,,,,Unknown,BAUMGARTNER 1-23 #1
25,252.9,67.0,,2.18,45.87,6.38,,,,Unknown,BAUMGARTNER 1-23 #1
26,253.4,68.63,201.69,2.19,46.46,6.26,4.96,,,Unknown,BAUMGARTNER 1-23 #1
27,253.9,71.1,201.11,2.15,47.94,5.93,4.97,,,Unknown,BAUMGARTNER 1-23 #1
28,254.4,68.63,200.76,2.05,50.33,5.42,4.98,,,Unknown,BAUMGARTNER 1-23 #1
29,254.9,64.5,201.75,1.95,51.94,4.98,4.96,,,Unknown,BAUMGARTNER 1-23 #1
30,255.4,62.69,203.75,1.91,52.37,4.77,4.91,,,Unknown,BAUMGARTNER 1-23 #1
31,255.9,61.25,204.63,1.94,54.37,4.83,4.89,,,Unknown,BAUMGARTNER 1-23 #1
32,256.4,65.63,203.64,2.03,55.65,5.12,4.91,,,Unknown,BAUMGARTNER 1-23 #1
33,256.9,67.36,201.68,2.12,53.34,5.57,4.96,,,Unknown,BAUMGARTNER 1-23 #1
34,257.4,59.75,198.09,2.15,51.44,6.06,5.05,,,Unknown,BAUMGARTNER 1-23 #1
35,257.9,53.46,193.15,2.13,49.72,6.48,5.18,,,Unknown,BAUMGARTNER 1-23 #1
36,258.4,52.06,187.59,2.1,46.31,6.79,5.33,,,Unknown,BAUMGARTNER 1-23 #1
37,258.9,52.72,183.38,2.09,43.11,7.01,5.45,,,Unknown,BAUMGARTNER 1-23 #1
38,259.4,54.31,181.73,2.11,41.54,7.1,5.5,,,Unknown,BAUMGARTNER 1-23 #1
39,259.9,60.51,181.8,2.15,43.03,7.12,5.5,,,Unknown,BAUMGARTNER 1-23 #1
40,260.4,68.48,182.91,2.19,46.38,7.13,5.47,,,Unknown,BAUMGARTNER 1-23 #1
41,260.9,69.93,187.91,2.21,48.67,7.15,5.32,,50.91,Unknown,BAUMGARTNER 1-23 #1
42,261.4,65.43,191.29,2.19,48.35,7.16,5.23,,53.21,Unknown,BAUMGARTNER 1-23 #1
43,261.9,59.14,192.19,2.15,48.34,7.21,5.2,,54.45,Unknown,BAUMGARTNER 1-23 #1
44,262.4,52.99,202.12,2.13,49.31,7.24,4.95,,53.72,Unknown,BAUMGARTNER 1-23 #1
45,262.9,53.47,214.31,2.13,49.76,7.22,4.67,,53.24,Unknown,BAUMGARTNER 1-23 #1
46,263.4,64.3,226.42,2.14,48.58,7.18,4.42,,53.31,Unknown,BAUMGARTNER 1-23 #1
47,263.9,75.76,237.62,2.13,46.96,7.17,4.21,,58.4,Unknown,BAUMGARTNER 1-23 #1
48,264.4,75.54,214.02,2.13,46.08,7.28,4.69,,68.02,Unknown,BAUMGARTNER 1-23 #1
49,264.9,65.2,147.29,2.12,47.14,7.43,7.02,,71.94,Unknown,BAUMGARTNER 1-23 #1
50,265.4,57.65,47.62,2.11,48.98,7.57,31.66,317.3,77.27,Unknown,BAUMGARTNER 1-23 #1
51,265.9,56.35,5.35,2.11,49.72,7.64,8021.52,317.91,80.7,Unknown,BAUMGARTNER 1-23 #1
52,266.4,56.42,0.1,2.09,48.67,7.71,10000.0,317.86,81.46,Unknown,BAUMGARTNER 1-23 #1
53,266.9,55.06,0.1,2.01,44.82,7.3,10000.0,315.34,86.99,Unknown,BAUMGARTNER 1-23 #1
54,267.4,53.41,0.1,1.83,41.68,5.91,10000.0,308.13,99.26,Unknown,BAUMGARTNER 1-23 #1
