,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name,Log_ILD,Log_CILD
0,265.4,57.65,47.62,2.11,48.98,7.57,31.66,317.3,77.27,Unknown,BAUMGARTNER 1-23 #1,3.4550540544528663,3.8632528410587166
1,267.9,53.05,18.8,1.61,41.22,4.33,2032.8,296.74,111.55,Unknown,BAUMGARTNER 1-23 #1,7.617169432005954,2.9338568698359038
2,268.4,55.89,74.38,1.44,41.59,3.27,17.7,286.09,121.62,Unknown,BAUMGARTNER 1-23 #1,2.8735646395797834,4.309187088496924
3,268.9,63.6,159.65,1.37,40.57,2.74,6.8,278.63,127.3,Unknown,BAUMGARTNER 1-23 #1,1.916922612182061,5.072983919160791
4,269.4,77.4,315.11,1.42,39.56,2.53,3.41,273.74,127.67,Unknown,BAUMGARTNER 1-23 #1,1.2267122912954254,5.752921784216493
5,269.9,90.01,286.4,1.6,39.53,2.52,3.53,270.09,125.64,Unknown,BAUMGARTNER 1-23 #1,1.2612978709452054,5.657389435086491
6,270.4,90.51,183.15,1.88,39.77,2.68,5.7,266.71,122.71,Unknown,BAUMGARTNER 1-23 #1,1.7404661748405046,5.210305489224823
7,270.9,81.45,97.78,2.13,39.19,2.89,11.01,263.56,120.64,Unknown,BAUMGARTNER 1-23 #1,2.3988039507345884,4.5827200571505
8,271.4,74.3,34.98,2.27,38.2,3.0,36.81,260.89,119.4,Unknown,BAUMGARTNER 1-23 #1,3.60576954739093,3.554776469590456
9,272.9,81.2,4.52,2.31,40.18,3.03,2146.32,255.47,122.54,Unknown,BAUMGARTNER 1-23 #1,7.671510026706035,1.5085119938441398
10,273.4,78.34,17.44,2.3,40.49,3.13,74.71,254.32,124.1,Unknown,BAUMGARTNER 1-23 #1,4.31361395198771,2.8587664184808337
11,273.9,78.66,24.66,2.29,40.27,3.2,40.91,253.36,124.91,Unknown,BAUMGARTNER 1-23 #1,3.711374531941307,3.2051824977361982
12,274.4,80.05,26.16,2.29,39.78,3.26,38.23,252.49,125.0,Unknown,BAUMGARTNER 1-23 #1,3.6436205477083212,3.264231526588998
13,274.9,87.82,29.86,2.3,39.41,3.29,33.63,251.87,124.93,Unknown,BAUMGARTNER 1-23 #1,3.515418525752178,3.3965197921110444
14,276.9,118.94,29.96,2.42,31.3,3.61,33.38,250.33,118.51,Unknown,BAUMGARTNER 1-23 #1,3.507956918233689,3.3998631586490187
15,277.4,106.15,28.97,2.39,34.27,3.55,34.53,249.51,116.66,Unknown,BAUMGARTNER 1-23 #1,3.541828511401901,3.366260811781259
16,277.9,91.82,28.24,2.32,34.03,3.39,35.41,248.37,115.1,Unknown,BAUMGARTNER 1-23 #1,3.566994266123812,3.3407394126250414
17,278.4,82.97,27.77,2.26,32.38,3.18,36.01,247.26,114.73,Unknown,BAUMGARTNER 1-23 #1,3.583796677660784,3.323956301318708
